Date,Food Item,Sales,Price,Category
2024-07-05,Crispy Veg Burger,66,99,Burger
2024-07-05,Veg Chilly Loaded Burger,37,99,Burger
2024-07-05,Desi Masala Crunch,58,119,Burger
2024-07-05,Punjabi Paneer,48,109,Burger
2024-07-05,Veg King Burger,84,99,Burger
2024-07-05,Paneer Supreme Burger,41,129,Burger
2024-07-05,Double Crispy Cheese Burger,93,129,Burger
2024-07-06,Aloo Tikki Burger,95,49,Burger
2024-07-06,Aloo Tikki Twist,73,69,Burger
2024-07-06,Veg Makhani,50,79,Burger
2024-07-06,Crispy Veg Burger,68,99,Burger
2024-07-06,Veg Chilly Loaded Burger,45,99,Burger
2024-07-06,Desi Masala Crunch,79,119,Burger
2024-07-06,Punjabi Paneer,35,109,Burger
2024-07-06,Veg King Burger,32,99,Burger
2024-07-06,Paneer Supreme Burger,42,129,Burger
2024-07-06,Double Crispy Cheese Burger,26,129,Burger
2024-07-07,Aloo Tikki Burger,45,49,Burger
2024-07-07,Aloo Tikki Twist,70,69,Burger
2024-07-07,Veg Makhani,91,79,Burger
2024-07-07,Crispy Veg Burger,49,99,Burger
2024-07-07,Veg Chilly Loaded Burger,44,99,Burger
2024-07-07,Desi Masala Crunch,54,119,Burger
2024-07-07,Punjabi Paneer,49,109,Burger
2024-07-07,Veg King Burger,27,99,Burger
2024-07-07,Paneer Supreme Burger,49,129,Burger
2024-07-07,Double Crispy Cheese Burger,73,129,Burger
2024-07-08,Aloo Tikki Burger,46,49,Burger
2024-07-08,Aloo Tikki Twist,92,69,Burger
2024-07-08,Veg Makhani,97,79,Burger
2024-07-08,Crispy Veg Burger,48,99,Burger
2024-07-08,Veg Chilly Loaded Burger,46,99,Burger
2024-07-08,Desi Masala Crunch,25,119,Burger
2024-07-08,Punjabi Paneer,94,109,Burger
2024-07-08,Veg King Burger,90,99,Burger
2024-07-08,Paneer Supreme Burger,37,129,Burger
2024-07-08,Double Crispy Cheese Burger,64,129,Burger
2024-07-09,Aloo Tikki Burger,25,49,Burger
2024-07-09,Aloo Tikki Twist,67,69,Burger
2024-07-09,Veg Makhani,80,79,Burger
2024-07-09,Crispy Veg Burger,25,99,Burger
2024-07-09,Veg Chilly Loaded Burger,26,99,Burger
2024-07-09,Desi Masala Crunch,37,119,Burger
2024-07-09,Punjabi Paneer,35,109,Burger
2024-07-09,Veg King Burger,98,99,Burger
2024-07-09,Paneer Supreme Burger,77,129,Burger
2024-07-09,Double Crispy Cheese Burger,34,129,Burger
2024-07-10,Aloo Tikki Burger,70,49,Burger
2024-07-10,Aloo Tikki Twist,59,69,Burger
2024-07-10,Veg Makhani,71,79,Burger
2024-07-10,Crispy Veg Burger,56,99,Burger
2024-07-10,Veg Chilly Loaded Burger,57,99,Burger
2024-07-10,Desi Masala Crunch,81,119,Burger
2024-07-10,Punjabi Paneer,48,109,Burger
2024-07-10,Veg King Burger,82,99,Burger
2024-07-10,Paneer Supreme Burger,67,129,Burger
2024-07-10,Double Crispy Cheese Burger,92,129,Burger
2024-07-11,Aloo Tikki Burger,76,49,Burger
2024-07-11,Aloo Tikki Twist,45,69,Burger
2024-07-11,Veg Makhani,46,79,Burger
2024-07-11,Crispy Veg Burger,25,99,Burger
2024-07-11,Veg Chilly Loaded Burger,52,99,Burger
2024-07-11,Desi Masala Crunch,25,119,Burger
2024-07-11,Punjabi Paneer,81,109,Burger
2024-07-11,Veg King Burger,40,99,Burger
2024-07-11,Paneer Supreme Burger,59,129,Burger
2024-07-11,Double Crispy Cheese Burger,84,129,Burger
2024-07-12,Aloo Tikki Burger,69,49,Burger
2024-07-12,Aloo Tikki Twist,41,69,Burger
2024-07-12,Veg Makhani,78,79,Burger
2024-07-12,Crispy Veg Burger,58,99,Burger
2024-07-12,Veg Chilly Loaded Burger,55,99,Burger
2024-07-12,Desi Masala Crunch,70,119,Burger
2024-07-12,Punjabi Paneer,41,109,Burger
2024-07-12,Veg King Burger,51,99,Burger
2024-07-12,Paneer Supreme Burger,36,129,Burger
2024-07-12,Double Crispy Cheese Burger,47,129,Burger
2024-07-13,Aloo Tikki Burger,26,49,Burger
2024-07-13,Aloo Tikki Twist,42,69,Burger
2024-07-13,Veg Makhani,95,79,Burger
2024-07-13,Crispy Veg Burger,68,99,Burger
2024-07-13,Veg Chilly Loaded Burger,74,99,Burger
2024-07-13,Desi Masala Crunch,29,119,Burger
2024-07-13,Punjabi Paneer,92,109,Burger
2024-07-13,Veg King Burger,35,99,Burger
2024-07-13,Paneer Supreme Burger,49,129,Burger
2024-07-13,Double Crispy Cheese Burger,87,129,Burger
2024-07-14,Aloo Tikki Burger,80,49,Burger
2024-07-14,Aloo Tikki Twist,48,69,Burger
2024-07-14,Veg Makhani,22,79,Burger
2024-07-14,Crispy Veg Burger,53,99,Burger
2024-07-14,Veg Chilly Loaded Burger,84,99,Burger
2024-07-14,Desi Masala Crunch,25,119,Burger
2024-07-14,Punjabi Paneer,66,109,Burger
2024-07-14,Veg King Burger,55,99,Burger
2024-07-14,Paneer Supreme Burger,39,129,Burger
2024-07-14,Double Crispy Cheese Burger,54,129,Burger
2024-07-15,Aloo Tikki Burger,49,49,Burger
2024-07-15,Aloo Tikki Twist,86,69,Burger
2024-07-15,Veg Makhani,61,79,Burger
2024-07-15,Crispy Veg Burger,57,99,Burger
2024-07-15,Veg Chilly Loaded Burger,46,99,Burger
2024-07-15,Desi Masala Crunch,79,119,Burger
2024-07-15,Punjabi Paneer,27,109,Burger
2024-07-15,Veg King Burger,78,99,Burger
2024-07-15,Paneer Supreme Burger,97,129,Burger
2024-07-15,Double Crispy Cheese Burger,35,129,Burger
2024-07-16,Aloo Tikki Burger,61,49,Burger
2024-07-16,Aloo Tikki Twist,80,69,Burger
2024-07-16,Veg Makhani,99,79,Burger
2024-07-16,Crispy Veg Burger,41,99,Burger
2024-07-16,Veg Chilly Loaded Burger,86,99,Burger
2024-07-16,Desi Masala Crunch,83,119,Burger
2024-07-16,Punjabi Paneer,96,109,Burger
2024-07-16,Veg King Burger,98,99,Burger
2024-07-16,Paneer Supreme Burger,31,129,Burger
2024-07-16,Double Crispy Cheese Burger,43,129,Burger
2024-07-17,Aloo Tikki Burger,76,49,Burger
2024-07-17,Aloo Tikki Twist,65,69,Burger
2024-07-17,Veg Makhani,57,79,Burger
2024-07-17,Crispy Veg Burger,94,99,Burger
2024-07-17,Veg Chilly Loaded Burger,77,99,Burger
2024-07-17,Desi Masala Crunch,47,119,Burger
2024-07-17,Punjabi Paneer,22,109,Burger
2024-07-17,Veg King Burger,61,99,Burger
2024-07-17,Paneer Supreme Burger,36,129,Burger
2024-07-17,Double Crispy Cheese Burger,52,129,Burger
2024-07-18,Aloo Tikki Burger,92,49,Burger
2024-07-18,Aloo Tikki Twist,83,69,Burger
2024-07-18,Veg Makhani,40,79,Burger
2024-07-18,Crispy Veg Burger,41,99,Burger
2024-07-18,Veg Chilly Loaded Burger,47,99,Burger
2024-07-18,Desi Masala Crunch,44,119,Burger
2024-07-18,Punjabi Paneer,73,109,Burger
2024-07-18,Veg King Burger,53,99,Burger
2024-07-18,Paneer Supreme Burger,86,129,Burger
2024-07-18,Double Crispy Cheese Burger,32,129,Burger
2024-07-19,Aloo Tikki Burger,37,49,Burger
2024-07-19,Aloo Tikki Twist,54,69,Burger
2024-07-19,Veg Makhani,73,79,Burger
2024-07-19,Crispy Veg Burger,41,99,Burger
2024-07-19,Veg Chilly Loaded Burger,82,99,Burger
2024-07-19,Desi Masala Crunch,39,119,Burger
2024-07-19,Punjabi Paneer,44,109,Burger
2024-07-19,Veg King Burger,54,99,Burger
2024-07-19,Paneer Supreme Burger,58,129,Burger
2024-07-19,Double Crispy Cheese Burger,44,129,Burger
2024-07-20,Aloo Tikki Burger,73,49,Burger
2024-07-20,Aloo Tikki Twist,27,69,Burger
2024-07-20,Veg Makhani,39,79,Burger
2024-07-20,Crispy Veg Burger,69,99,Burger
2024-07-20,Veg Chilly Loaded Burger,79,99,Burger
2024-07-20,Desi Masala Crunch,58,119,Burger
2024-07-20,Punjabi Paneer,38,109,Burger
2024-07-20,Veg King Burger,40,99,Burger
2024-07-20,Paneer Supreme Burger,32,129,Burger
2024-07-20,Double Crispy Cheese Burger,23,129,Burger
2024-07-21,Aloo Tikki Burger,62,49,Burger
2024-07-21,Aloo Tikki Twist,42,69,Burger
2024-07-21,Veg Makhani,20,79,Burger
2024-07-21,Crispy Veg Burger,39,99,Burger
2024-07-21,Veg Chilly Loaded Burger,59,99,Burger
2024-07-21,Desi Masala Crunch,97,119,Burger
2024-07-21,Punjabi Paneer,80,109,Burger
2024-07-21,Veg King Burger,61,99,Burger
2024-07-21,Paneer Supreme Burger,89,129,Burger
2024-07-21,Double Crispy Cheese Burger,36,129,Burger
2024-07-22,Aloo Tikki Burger,44,49,Burger
2024-07-22,Aloo Tikki Twist,95,69,Burger
2024-07-22,Veg Makhani,75,79,Burger
2024-07-22,Crispy Veg Burger,87,99,Burger
2024-07-22,Veg Chilly Loaded Burger,23,99,Burger
2024-07-22,Desi Masala Crunch,35,119,Burger
2024-07-22,Punjabi Paneer,95,109,Burger
2024-07-22,Veg King Burger,42,99,Burger
2024-07-22,Paneer Supreme Burger,27,129,Burger
2024-07-22,Double Crispy Cheese Burger,51,129,Burger
2024-07-23,Aloo Tikki Burger,31,49,Burger
2024-07-23,Aloo Tikki Twist,57,69,Burger
2024-07-23,Veg Makhani,77,79,Burger
2024-07-23,Crispy Veg Burger,40,99,Burger
2024-07-23,Veg Chilly Loaded Burger,80,99,Burger
2024-07-23,Desi Masala Crunch,20,119,Burger
2024-07-23,Punjabi Paneer,69,109,Burger
2024-07-23,Veg King Burger,34,99,Burger
2024-07-23,Paneer Supreme Burger,53,129,Burger
2024-07-23,Double Crispy Cheese Burger,20,129,Burger
2024-07-24,Aloo Tikki Burger,63,49,Burger
2024-07-24,Aloo Tikki Twist,59,69,Burger
2024-07-24,Veg Makhani,45,79,Burger
2024-07-24,Crispy Veg Burger,95,99,Burger
2024-07-24,Veg Chilly Loaded Burger,25,99,Burger
2024-07-24,Desi Masala Crunch,46,119,Burger
2024-07-24,Punjabi Paneer,88,109,Burger
2024-07-24,Veg King Burger,77,99,Burger
2024-07-24,Paneer Supreme Burger,85,129,Burger
2024-07-24,Double Crispy Cheese Burger,79,129,Burger
2024-07-25,Aloo Tikki Burger,62,49,Burger
2024-07-25,Aloo Tikki Twist,58,69,Burger
2024-07-25,Veg Makhani,57,79,Burger
2024-07-25,Crispy Veg Burger,24,99,Burger
2024-07-25,Veg Chilly Loaded Burger,82,99,Burger
2024-07-25,Desi Masala Crunch,50,119,Burger
2024-07-25,Punjabi Paneer,97,109,Burger
2024-07-25,Veg King Burger,51,99,Burger
2024-07-25,Paneer Supreme Burger,64,129,Burger
2024-07-25,Double Crispy Cheese Burger,38,129,Burger
2024-07-26,Aloo Tikki Burger,90,49,Burger
2024-07-26,Aloo Tikki Twist,69,69,Burger
2024-07-26,Veg Makhani,58,79,Burger
2024-07-26,Crispy Veg Burger,57,99,Burger
2024-07-26,Veg Chilly Loaded Burger,42,99,Burger
2024-07-26,Desi Masala Crunch,48,119,Burger
2024-07-26,Punjabi Paneer,77,109,Burger
2024-07-26,Veg King Burger,61,99,Burger
2024-07-26,Paneer Supreme Burger,56,129,Burger
2024-07-26,Double Crispy Cheese Burger,66,129,Burger
2024-07-27,Aloo Tikki Burger,29,49,Burger
2024-07-27,Aloo Tikki Twist,45,69,Burger
2024-07-27,Veg Makhani,77,79,Burger
2024-07-27,Crispy Veg Burger,42,99,Burger
2024-07-27,Veg Chilly Loaded Burger,78,99,Burger
2024-07-27,Desi Masala Crunch,64,119,Burger
2024-07-27,Punjabi Paneer,43,109,Burger
2024-07-27,Veg King Burger,64,99,Burger
2024-07-27,Paneer Supreme Burger,93,129,Burger
2024-07-27,Double Crispy Cheese Burger,66,129,Burger
2024-07-28,Aloo Tikki Burger,63,49,Burger
2024-07-28,Aloo Tikki Twist,48,69,Burger
2024-07-28,Veg Makhani,81,79,Burger
2024-07-28,Crispy Veg Burger,79,99,Burger
2024-07-28,Veg Chilly Loaded Burger,36,99,Burger
2024-07-28,Desi Masala Crunch,47,119,Burger
2024-07-28,Punjabi Paneer,43,109,Burger
2024-07-28,Veg King Burger,25,99,Burger
2024-07-28,Paneer Supreme Burger,71,129,Burger
2024-07-28,Double Crispy Cheese Burger,72,129,Burger
2024-07-29,Aloo Tikki Burger,28,49,Burger
2024-07-29,Aloo Tikki Twist,84,69,Burger
2024-07-29,Veg Makhani,74,79,Burger
2024-07-29,Crispy Veg Burger,27,99,Burger
2024-07-29,Veg Chilly Loaded Burger,49,99,Burger
2024-07-29,Desi Masala Crunch,66,119,Burger
2024-07-29,Punjabi Paneer,68,109,Burger
2024-07-29,Veg King Burger,69,99,Burger
2024-07-29,Paneer Supreme Burger,50,129,Burger
2024-07-29,Double Crispy Cheese Burger,23,129,Burger
2024-07-30,Aloo Tikki Burger,92,49,Burger
2024-07-30,Aloo Tikki Twist,86,69,Burger
2024-07-30,Veg Makhani,69,79,Burger
2024-07-30,Crispy Veg Burger,50,99,Burger
2024-07-30,Veg Chilly Loaded Burger,28,99,Burger
2024-07-30,Desi Masala Crunch,74,119,Burger
2024-07-30,Punjabi Paneer,45,109,Burger
2024-07-30,Veg King Burger,53,99,Burger
2024-07-30,Paneer Supreme Burger,96,129,Burger
2024-07-30,Double Crispy Cheese Burger,60,129,Burger
2024-07-31,Aloo Tikki Burger,33,49,Burger
2024-07-31,Aloo Tikki Twist,44,69,Burger
2024-07-31,Veg Makhani,72,79,Burger
2024-07-31,Crispy Veg Burger,49,99,Burger
2024-07-31,Veg Chilly Loaded Burger,39,99,Burger
2024-07-31,Desi Masala Crunch,99,119,Burger
2024-07-31,Punjabi Paneer,74,109,Burger
2024-07-31,Veg King Burger,51,99,Burger
2024-07-31,Paneer Supreme Burger,27,129,Burger
2024-07-31,Double Crispy Cheese Burger,40,129,Burger
2024-08-01,Aloo Tikki Burger,65,49,Burger
2024-08-01,Aloo Tikki Twist,81,69,Burger
2024-08-01,Veg Makhani,37,79,Burger
2024-08-01,Crispy Veg Burger,86,99,Burger
2024-08-01,Veg Chilly Loaded Burger,39,99,Burger
2024-08-01,Desi Masala Crunch,79,119,Burger
2024-08-01,Punjabi Paneer,38,109,Burger
2024-08-01,Veg King Burger,56,99,Burger
2024-08-01,Paneer Supreme Burger,71,129,Burger
2024-08-01,Double Crispy Cheese Burger,66,129,Burger
2024-08-02,Aloo Tikki Burger,77,49,Burger
2024-08-02,Aloo Tikki Twist,40,69,Burger
2024-08-02,Veg Makhani,53,79,Burger
2024-08-02,Crispy Veg Burger,26,99,Burger
2024-08-02,Veg Chilly Loaded Burger,33,99,Burger
2024-08-02,Desi Masala Crunch,61,119,Burger
2024-08-02,Punjabi Paneer,89,109,Burger
2024-08-02,Veg King Burger,86,99,Burger
2024-08-02,Paneer Supreme Burger,83,129,Burger
2024-08-02,Double Crispy Cheese Burger,64,129,Burger
2024-08-03,Aloo Tikki Burger,72,49,Burger
2024-08-03,Aloo Tikki Twist,39,69,Burger
2024-08-03,Veg Makhani,60,79,Burger
2024-08-03,Crispy Veg Burger,65,99,Burger
2024-08-03,Veg Chilly Loaded Burger,86,99,Burger
2024-08-03,Desi Masala Crunch,90,119,Burger
2024-08-03,Punjabi Paneer,84,109,Burger
2024-08-03,Veg King Burger,60,99,Burger
2024-08-03,Paneer Supreme Burger,25,129,Burger
2024-08-03,Double Crispy Cheese Burger,29,129,Burger
2024-08-04,Aloo Tikki Burger,70,49,Burger
2024-08-04,Aloo Tikki Twist,96,69,Burger
2024-08-04,Veg Makhani,37,79,Burger
2024-08-04,Crispy Veg Burger,23,99,Burger
2024-08-04,Veg Chilly Loaded Burger,43,99,Burger
2024-08-04,Desi Masala Crunch,22,119,Burger
2024-08-04,Punjabi Paneer,21,109,Burger
2024-08-04,Veg King Burger,61,99,Burger
2024-08-04,Paneer Supreme Burger,34,129,Burger
2024-08-04,Double Crispy Cheese Burger,77,129,Burger
2024-08-05,Aloo Tikki Burger,44,49,Burger
2024-08-05,Aloo Tikki Twist,63,69,Burger
2024-08-05,Veg Makhani,87,79,Burger
2024-08-05,Crispy Veg Burger,96,99,Burger
2024-08-05,Veg Chilly Loaded Burger,67,99,Burger
2024-08-05,Desi Masala Crunch,24,119,Burger
2024-08-05,Punjabi Paneer,64,109,Burger
2024-08-05,Veg King Burger,98,99,Burger
2024-08-05,Paneer Supreme Burger,89,129,Burger
2024-08-05,Double Crispy Cheese Burger,91,129,Burger
2024-08-06,Aloo Tikki Burger,78,49,Burger
2024-08-06,Aloo Tikki Twist,57,69,Burger
2024-08-06,Veg Makhani,60,79,Burger
2024-08-06,Crispy Veg Burger,31,99,Burger
2024-08-06,Veg Chilly Loaded Burger,42,99,Burger
2024-08-06,Desi Masala Crunch,87,119,Burger
2024-08-06,Punjabi Paneer,65,109,Burger
2024-08-06,Veg King Burger,24,99,Burger
2024-08-06,Paneer Supreme Burger,54,129,Burger
2024-08-06,Double Crispy Cheese Burger,66,129,Burger
2024-08-07,Aloo Tikki Burger,48,49,Burger
2024-08-07,Aloo Tikki Twist,46,69,Burger
2024-08-07,Veg Makhani,33,79,Burger
2024-08-07,Crispy Veg Burger,55,99,Burger
2024-08-07,Veg Chilly Loaded Burger,29,99,Burger
2024-08-07,Desi Masala Crunch,91,119,Burger
2024-08-07,Punjabi Paneer,40,109,Burger
2024-08-07,Veg King Burger,92,99,Burger
2024-08-07,Paneer Supreme Burger,70,129,Burger
2024-08-07,Double Crispy Cheese Burger,56,129,Burger
2024-08-08,Aloo Tikki Burger,56,49,Burger
2024-08-08,Aloo Tikki Twist,64,69,Burger
2024-08-08,Veg Makhani,94,79,Burger
2024-08-08,Crispy Veg Burger,28,99,Burger
2024-08-08,Veg Chilly Loaded Burger,24,99,Burger
2024-08-08,Desi Masala Crunch,61,119,Burger
2024-08-08,Punjabi Paneer,68,109,Burger
2024-08-08,Veg King Burger,92,99,Burger
2024-08-08,Paneer Supreme Burger,98,129,Burger
2024-08-08,Double Crispy Cheese Burger,34,129,Burger
2024-08-09,Aloo Tikki Burger,23,49,Burger
2024-08-09,Aloo Tikki Twist,76,69,Burger
2024-08-09,Veg Makhani,85,79,Burger
2024-08-09,Crispy Veg Burger,88,99,Burger
2024-08-09,Veg Chilly Loaded Burger,33,99,Burger
2024-08-09,Desi Masala Crunch,71,119,Burger
2024-08-09,Punjabi Paneer,39,109,Burger
2024-08-09,Veg King Burger,60,99,Burger
2024-08-09,Paneer Supreme Burger,48,129,Burger
2024-08-09,Double Crispy Cheese Burger,73,129,Burger
2024-08-10,Aloo Tikki Burger,80,49,Burger
2024-08-10,Aloo Tikki Twist,40,69,Burger
2024-08-10,Veg Makhani,66,79,Burger
2024-08-10,Crispy Veg Burger,53,99,Burger
2024-08-10,Veg Chilly Loaded Burger,29,99,Burger
2024-08-10,Desi Masala Crunch,73,119,Burger
2024-08-10,Punjabi Paneer,41,109,Burger
2024-08-10,Veg King Burger,37,99,Burger
2024-08-10,Paneer Supreme Burger,31,129,Burger
2024-08-10,Double Crispy Cheese Burger,75,129,Burger
2024-08-11,Aloo Tikki Burger,51,49,Burger
2024-08-11,Aloo Tikki Twist,97,69,Burger
2024-08-11,Veg Makhani,61,79,Burger
2024-08-11,Crispy Veg Burger,98,99,Burger
2024-08-11,Veg Chilly Loaded Burger,73,99,Burger
2024-08-11,Desi Masala Crunch,26,119,Burger
2024-08-11,Punjabi Paneer,74,109,Burger
2024-08-11,Veg King Burger,95,99,Burger
2024-08-11,Paneer Supreme Burger,64,129,Burger
2024-08-11,Double Crispy Cheese Burger,86,129,Burger
2024-08-12,Aloo Tikki Burger,34,49,Burger
2024-08-12,Aloo Tikki Twist,26,69,Burger
2024-08-12,Veg Makhani,48,79,Burger
2024-08-12,Crispy Veg Burger,45,99,Burger
2024-08-12,Veg Chilly Loaded Burger,52,99,Burger
2024-08-12,Desi Masala Crunch,73,119,Burger
2024-08-12,Punjabi Paneer,69,109,Burger
2024-08-12,Veg King Burger,92,99,Burger
2024-08-12,Paneer Supreme Burger,96,129,Burger
2024-08-12,Double Crispy Cheese Burger,29,129,Burger
2024-08-13,Aloo Tikki Burger,28,49,Burger
2024-08-13,Aloo Tikki Twist,22,69,Burger
2024-08-13,Veg Makhani,62,79,Burger
2024-08-13,Crispy Veg Burger,60,99,Burger
2024-08-13,Veg Chilly Loaded Burger,78,99,Burger
2024-08-13,Desi Masala Crunch,76,119,Burger
2024-08-13,Punjabi Paneer,52,109,Burger
2024-08-13,Veg King Burger,26,99,Burger
2024-08-13,Paneer Supreme Burger,56,129,Burger
2024-08-13,Double Crispy Cheese Burger,39,129,Burger
2024-08-14,Aloo Tikki Burger,81,49,Burger
2024-08-14,Aloo Tikki Twist,47,69,Burger
2024-08-14,Veg Makhani,65,79,Burger
2024-08-14,Crispy Veg Burger,24,99,Burger
2024-08-14,Veg Chilly Loaded Burger,27,99,Burger
2024-08-14,Desi Masala Crunch,78,119,Burger
2024-08-14,Punjabi Paneer,58,109,Burger
2024-08-14,Veg King Burger,65,99,Burger
2024-08-14,Paneer Supreme Burger,20,129,Burger
2024-08-14,Double Crispy Cheese Burger,27,129,Burger
2024-08-15,Aloo Tikki Burger,64,49,Burger
2024-08-15,Aloo Tikki Twist,40,69,Burger
2024-08-15,Veg Makhani,34,79,Burger
2024-08-15,Crispy Veg Burger,32,99,Burger
2024-08-15,Veg Chilly Loaded Burger,40,99,Burger
2024-08-15,Desi Masala Crunch,49,119,Burger
2024-08-15,Punjabi Paneer,38,109,Burger
2024-08-15,Veg King Burger,91,99,Burger
2024-08-15,Paneer Supreme Burger,54,129,Burger
2024-08-15,Double Crispy Cheese Burger,80,129,Burger
2024-08-16,Aloo Tikki Burger,31,49,Burger
2024-08-16,Aloo Tikki Twist,25,69,Burger
2024-08-16,Veg Makhani,87,79,Burger
2024-08-16,Crispy Veg Burger,20,99,Burger
2024-08-16,Veg Chilly Loaded Burger,97,99,Burger
2024-08-16,Desi Masala Crunch,89,119,Burger
2024-08-16,Punjabi Paneer,88,109,Burger
2024-08-16,Veg King Burger,33,99,Burger
2024-08-16,Paneer Supreme Burger,64,129,Burger
2024-08-16,Double Crispy Cheese Burger,45,129,Burger
2024-08-17,Aloo Tikki Burger,22,49,Burger
2024-08-17,Aloo Tikki Twist,39,69,Burger
2024-08-17,Veg Makhani,67,79,Burger
2024-08-17,Crispy Veg Burger,90,99,Burger
2024-08-17,Veg Chilly Loaded Burger,89,99,Burger
2024-08-17,Desi Masala Crunch,65,119,Burger
2024-08-17,Punjabi Paneer,32,109,Burger
2024-08-17,Veg King Burger,88,99,Burger
2024-08-17,Paneer Supreme Burger,49,129,Burger
2024-08-17,Double Crispy Cheese Burger,49,129,Burger
2024-08-18,Aloo Tikki Burger,70,49,Burger
2024-08-18,Aloo Tikki Twist,92,69,Burger
2024-08-18,Veg Makhani,58,79,Burger
2024-08-18,Crispy Veg Burger,86,99,Burger
2024-08-18,Veg Chilly Loaded Burger,51,99,Burger
2024-08-18,Desi Masala Crunch,74,119,Burger
2024-08-18,Punjabi Paneer,43,109,Burger
2024-08-18,Veg King Burger,67,99,Burger
2024-08-18,Paneer Supreme Burger,96,129,Burger
2024-08-18,Double Crispy Cheese Burger,41,129,Burger
2024-08-19,Aloo Tikki Burger,38,49,Burger
2024-08-19,Aloo Tikki Twist,90,69,Burger
2024-08-19,Veg Makhani,62,79,Burger
2024-08-19,Crispy Veg Burger,87,99,Burger
2024-08-19,Veg Chilly Loaded Burger,27,99,Burger
2024-08-19,Desi Masala Crunch,99,119,Burger
2024-08-19,Punjabi Paneer,77,109,Burger
2024-08-19,Veg King Burger,72,99,Burger
2024-08-19,Paneer Supreme Burger,67,129,Burger
2024-08-19,Double Crispy Cheese Burger,68,129,Burger
2024-08-20,Aloo Tikki Burger,78,49,Burger
2024-08-20,Aloo Tikki Twist,61,69,Burger
2024-08-20,Veg Makhani,97,79,Burger
2024-08-20,Crispy Veg Burger,98,99,Burger
2024-08-20,Veg Chilly Loaded Burger,91,99,Burger
2024-08-20,Desi Masala Crunch,41,119,Burger
2024-08-20,Punjabi Paneer,74,109,Burger
2024-08-20,Veg King Burger,53,99,Burger
2024-08-20,Paneer Supreme Burger,76,129,Burger
2024-08-20,Double Crispy Cheese Burger,83,129,Burger
2024-08-21,Aloo Tikki Burger,52,49,Burger
2024-08-21,Aloo Tikki Twist,63,69,Burger
2024-08-21,Veg Makhani,55,79,Burger
2024-08-21,Crispy Veg Burger,25,99,Burger
2024-08-21,Veg Chilly Loaded Burger,41,99,Burger
2024-08-21,Desi Masala Crunch,85,119,Burger
2024-08-21,Punjabi Paneer,49,109,Burger
2024-08-21,Veg King Burger,24,99,Burger
2024-08-21,Paneer Supreme Burger,54,129,Burger
2024-08-21,Double Crispy Cheese Burger,72,129,Burger
2024-08-22,Aloo Tikki Burger,28,49,Burger
2024-08-22,Aloo Tikki Twist,59,69,Burger
2024-08-22,Veg Makhani,80,79,Burger
2024-08-22,Crispy Veg Burger,80,99,Burger
2024-08-22,Veg Chilly Loaded Burger,36,99,Burger
2024-08-22,Desi Masala Crunch,41,119,Burger
2024-08-22,Punjabi Paneer,61,109,Burger
2024-08-22,Veg King Burger,87,99,Burger
2024-08-22,Paneer Supreme Burger,54,129,Burger
2024-08-22,Double Crispy Cheese Burger,42,129,Burger
